name,official_url,listing_url,x_url,linkedin_url,contact_url,notes
Gamma,https://gamma.app/,https://ihelpwithai.com/tools/gamma.html,,,https://gamma.app/contact,site/contact-first
HeyGen,https://www.heygen.com/,https://ihelpwithai.com/tools/heygen.html,https://x.com/HeyGen,https://www.linkedin.com/company/heygen,https://help.heygen.com/en/,x-first
Captions,https://www.captions.ai/,https://ihelpwithai.com/tools/captions.html,,,https://www.captions.ai/contact,site/contact-first
OpusClip,https://www.opus.pro/,https://ihelpwithai.com/tools/opus-clip.html,https://twitter.com/opusclip,https://www.linkedin.com/company/opusclip,https://help.opus.pro/,x-first
ElevenLabs,https://elevenlabs.io/,https://ihelpwithai.com/tools/elevenlabs.html,https://x.com/ElevenLabsDevs,https://linkedin.com/in/yourprofile\,https://elevenlabs.io/contact-sales?platform=agents\,x-first
Lovable,https://lovable.dev/,https://ihelpwithai.com/directory.html?search=Lovable,https://twitter.com/Lovable,https://www.linkedin.com/company/lovable-dev,https://lovable.dev/support,x-first
Bolt.new,https://bolt.new/,https://ihelpwithai.com/tools/bolt-new.html,https://x.com/boltdotnew,https://www.linkedin.com/company/stackblitz,https://support.bolt.new,x-first
Cursor,https://cursor.com/,https://ihelpwithai.com/tools/cursor.html,https://twitter.com/cursor_ai,https://www.linkedin.com/company/cursorai,https://cursor.com/contact-sales,x-first
Luma AI,https://lumalabs.ai/,https://ihelpwithai.com/tools/luma-ai.html,https://x.com/LumaLabsAI,https://www.linkedin.com/company/luma-ai,https://lumalabs.ai/contact,x-first
Writesonic,https://writesonic.com/,https://ihelpwithai.com/tools/writesonic.html,https://x.com/WriteSonic,https://www.linkedin.com/company/writesonic/,https://writesonic.com/about-us,x-first
Fireflies,https://fireflies.ai/,https://ihelpwithai.com/tools/fireflies.html,https://twitter.com/firefliesai,https://www.linkedin.com/company/fireflies-inc/,https://fireflies.ai/about-us,x-first
Descript,https://www.descript.com/,https://ihelpwithai.com/tools/descript.html,,https://px.ads.linkedin.com/collect/?pid=3756516&amp;fmt=gif,https://help.descript.com/,site/contact-first
Synthesia,https://www.synthesia.io/,https://ihelpwithai.com/tools/synthesia.html,https://twitter.com/synthesiaio?lang=en,https://www.linkedin.com/company/synthesia-technologies/,https://help.synthesia.io/,x-first
Replit,https://replit.com/,https://ihelpwithai.com/tools/replit-ai.html,https://twitter.com/replit,https://www.linkedin.com/company/repl-it,https://replit.com/about,x-first
VEED,https://www.veed.io/,https://ihelpwithai.com/tools/veed.html,https://twitter.com/veedstudio,https://www.linkedin.com/company/veedhq,https://help.veed.io,x-first
Pika,https://pika.art/,https://ihelpwithai.com/tools/pika.html,https://twitter.com/pika_labs,,https://pika.art/contact,x-first
Leonardo AI,https://leonardo.ai/,https://ihelpwithai.com/tools/leonardo-ai.html,,,https://leonardo.ai/contact,site/contact-first
Runway,https://runwayml.com/,https://ihelpwithai.com/tools/runway.html,https://image.mux.com/02EFzZu9kqNjyMW00TW2fffK8TzfA01LDy8hCF38dGxEkI/thumbnail.webp?time=0,https://www.linkedin.com/company/runwayml/,https://help.runwayml.com/hc/en-us,x-first
Suno,https://suno.com/,https://ihelpwithai.com/tools/suno.html,https://x.com/suno,,https://suno.com/contact,x-first
Perplexity,https://www.perplexity.ai/,https://ihelpwithai.com/tools/perplexity.html,,,https://www.perplexity.ai/contact,site/contact-first
